id,pred
2013_1103_1107,0.5560268347651641
2013_1103_1112,0.6618032942320987
2013_1103_1125,0.6413115531358077
2013_1103_1129,0.47147186722569484
2013_1103_1137,0.4649795791693397
2013_1103_1139,0.5792937700645494
2013_1103_1143,0.446049646711669
2013_1103_1153,0.4751574586227121
2013_1103_1160,0.4791020218627733
2013_1103_1161,0.37779751019636554
2013_1103_1166,0.4397883845747138
2013_1103_1172,0.3920304656501074
2013_1103_1181,0.5744670897906249
2013_1103_1195,0.3424153980630753
2013_1103_1196,0.3871794888565462
2013_1103_1207,0.4876168213659441
2013_1103_1211,0.5245822855430902
2013_1103_1217,0.3666249603841839
2013_1103_1228,0.636028892781808
2013_1103_1231,0.4010706291179493
2013_1103_1233,0.3979843744917157
2013_1103_1235,0.3811856487295289
2013_1103_1241,0.38997986663235007
2013_1103_1242,0.38289448027332157
2013_1103_1243,0.5389077657776398
2013_1103_1247,0.3950543270741255
2013_1103_1251,0.3592624540476391
2013_1103_1254,0.31429738758648235
2013_1103_1257,0.36545124355015707
2013_1103_1266,0.39895627417746615
2013_1103_1272,0.3221915467879336
2013_1103_1274,0.6604108774949294
2013_1103_1276,0.6298810581258839
2013_1103_1277,0.5834228097547546
2013_1103_1278,0.32505202466985544
2013_1103_1279,0.4452292805252302
2013_1103_1281,0.3879231372037705
2013_1103_1285,0.5799637368365765
2013_1103_1292,0.484008651718024
2013_1103_1299,0.17507487943512787
2013_1103_1301,0.5439918642728168
2013_1103_1307,0.43028882160583404
2013_1103_1308,0.3719914511156438
2013_1103_1314,0.33566483462026425
2013_1103_1322,0.4556301843555635
2013_1103_1323,0.500427813621123
2013_1103_1326,0.5379762765797022
2013_1103_1328,0.5223184382080015
2013_1103_1329,0.34225682219330694
2013_1103_1332,0.4242635212487076
2013_1103_1334,0.29718923029469974
2013_1103_1338,0.479711209468511
2013_1103_1355,0.5764186453946984
2013_1103_1361,0.4980344059164222
2013_1103_1380,0.1991825858413708
2013_1103_1387,0.39329773109827454
2013_1103_1388,0.5897244330434989
2013_1103_1393,0.36568984400101456
2013_1103_1396,0.4620937931494794
2013_1103_1417,0.4469195554677698
2013_1103_1424,0.355760465881011
2013_1103_1433,0.6065470205772059
2013_1103_1434,0.27400477762354963
2013_1103_1437,0.4373019446341459
2013_1103_1443,0.4688014863039909
2013_1103_1455,0.5458719347335583
2013_1103_1458,0.6887512523405178
2013_1107_1112,0.3821345611039406
2013_1107_1125,0.30010828807366136
2013_1107_1129,0.6125957890967708
2013_1107_1137,0.32079784256562616
2013_1107_1139,0.49685863653207424
2013_1107_1143,0.40031086812282585
2013_1107_1153,0.5024525575468906
2013_1107_1160,0.5191534171686444
2013_1107_1161,0.30387967470410665
2013_1107_1166,0.37967210717386346
2013_1107_1172,0.4874165099490384
2013_1107_1181,0.4611727633667949
2013_1107_1195,0.3699149436784621
2013_1107_1196,0.484103826946452
2013_1107_1207,0.47392426144593913
2013_1107_1211,0.37719365842343155
2013_1107_1217,0.5072371403339352
2013_1107_1228,0.5797184894411092
2013_1107_1231,0.31926719394405895
2013_1107_1233,0.4217233517853423
2013_1107_1235,0.49837470665145545
2013_1107_1241,0.441772063838971
2013_1107_1242,0.2240900774344322
2013_1107_1243,0.32545854328988383
2013_1107_1247,0.4385775636065395
2013_1107_1251,0.45464135030216274
2013_1107_1254,0.34020619299412874
2013_1107_1257,0.27923352140002666
2013_1107_1266,0.5261715584081148
2013_1107_1272,0.5154226179073197
2013_1107_1274,0.5586261488575278
2013_1107_1276,0.7850038835232938
2013_1107_1277,0.5426923061974481
2013_1107_1278,0.48248410652009793
2013_1107_1279,0.5234327600651899
2013_1107_1281,0.47360692615549665
2013_1107_1285,0.5840362775059154
2013_1107_1292,0.5835617612896765
2013_1107_1299,0.21816127282765965
2013_1107_1301,0.5586342632320115
2013_1107_1307,0.42284398081453256
2013_1107_1308,0.6295930697952989
2013_1107_1314,0.4790111022358981
2013_1107_1322,0.33609062420257385
2013_1107_1323,0.5410836340600107
2013_1107_1326,0.4213107568246738
2013_1107_1328,0.4538639538965487
2013_1107_1329,0.4655524717338629
2013_1107_1332,0.4912914171684319
2013_1107_1334,0.5172719048818509
2013_1107_1338,0.5985605655065199
2013_1107_1355,0.5563298077898483
2013_1107_1361,0.520569913459183
2013_1107_1380,0.3573338207969119
2013_1107_1387,0.47080273547545126
2013_1107_1388,0.41841144619504406
2013_1107_1393,0.4812521505779963
2013_1107_1396,0.4998429542860324
2013_1107_1417,0.5232742005697087
2013_1107_1424,0.5778983718568758
2013_1107_1433,0.5005414157827075
2013_1107_1434,0.5233265042517778
2013_1107_1437,0.3790860032407173
2013_1107_1443,0.42489513791534217
2013_1107_1455,0.6948827175715127
2013_1107_1458,0.6214923222848371
2013_1112_1125,0.46081730147712807
2013_1112_1129,0.44645190008063457
2013_1112_1137,0.47664745396586544
2013_1112_1139,0.4859272655816915
2013_1112_1143,0.5168753093920189
2013_1112_1153,0.4190666985950505
2013_1112_1160,0.2899939135820009
2013_1112_1161,0.29944650273465656
2013_1112_1166,0.5442424266210995
2013_1112_1172,0.4735778194671299
2013_1112_1181,0.6941514918477857
2013_1112_1195,0.33247829645905097
2013_1112_1196,0.478249544927918
2013_1112_1207,0.2755447544075107
2013_1112_1211,0.522500166427807
2013_1112_1217,0.2620406629129927
2013_1112_1228,0.5811787882709601
2013_1112_1231,0.27937722926987135
2013_1112_1233,0.6847387169963501
2013_1112_1235,0.4348576598396453
2013_1112_1241,0.3316004793544361
2013_1112_1242,0.36258124707455675
2013_1112_1243,0.31825450385126924
2013_1112_1247,0.42100140478084647
2013_1112_1251,0.4401961246950406
2013_1112_1254,0.3784347866577127
2013_1112_1257,0.3378702802706851
2013_1112_1266,0.4999072485143837
2013_1112_1272,0.17293655517901882
2013_1112_1274,0.609586467148112
2013_1112_1276,0.7225805572292384
2013_1112_1277,0.6079577245394728
2013_1112_1278,0.1583267905392983
2013_1112_1279,0.25532311040561817
2013_1112_1281,0.4938468888035597
2013_1112_1285,0.40243018075787096
2013_1112_1292,0.5031609991830474
2013_1112_1299,0.4020498507224347
2013_1112_1301,0.34079199263028037
2013_1112_1307,0.2815075483680599
2013_1112_1308,0.14189764619805859
2013_1112_1314,0.49822441057836087
2013_1112_1322,0.34118902407052726
2013_1112_1323,0.5644420579023213
2013_1112_1326,0.5813742245796314
2013_1112_1328,0.3758544213596037
2013_1112_1329,0.27615770406993756
2013_1112_1332,0.477428157108877
2013_1112_1334,0.4461323336390179
2013_1112_1338,0.5437991839879072
2013_1112_1355,0.4771964013467796
2013_1112_1361,0.45962293655347114
2013_1112_1380,0.4548329854815573
2013_1112_1387,0.5279807797914629
2013_1112_1388,0.6507172524193281
2013_1112_1393,0.2356341162733589
2013_1112_1396,0.2806542390590895
2013_1112_1417,0.521640147826509
2013_1112_1424,0.21880525513210702
2013_1112_1433,0.7200463440431155
2013_1112_1434,0.2964600193547643
2013_1112_1437,0.36482564812146845
2013_1112_1443,0.3599152701245511
2013_1112_1455,0.42303034464832995
2013_1112_1458,0.7015934539980172
2013_1125_1129,0.5740916175763755
2013_1125_1137,0.4550960161650573
2013_1125_1139,0.7162461652790345
2013_1125_1143,0.5751532337579787
2013_1125_1153,0.6204192834292789
2013_1125_1160,0.4804763105014666
2013_1125_1161,0.4435642078232512
2013_1125_1166,0.5714593400484704
2013_1125_1172,0.6437248613321774
2013_1125_1181,0.6638969727220436
2013_1125_1195,0.33941417803508767
2013_1125_1196,0.5018399328238349
2013_1125_1207,0.49105931182350726
2013_1125_1211,0.40645915651638004
2013_1125_1217,0.37863315176327644
2013_1125_1228,0.9033792787014507
2013_1125_1231,0.4582439481132337
2013_1125_1233,0.36593307980356216
2013_1125_1235,0.36128819065640894
2013_1125_1241,0.5279722399262395
2013_1125_1242,0.42605186050942584
2013_1125_1243,0.46053808901052995
2013_1125_1247,0.3555330853835144
2013_1125_1251,0.3984231339601956
2013_1125_1254,0.2572603749959235
2013_1125_1257,0.5556717356078633
2013_1125_1266,0.41823678350117477
2013_1125_1272,0.33868145288003815
2013_1125_1274,0.6796031506937639
